date,sku,retailer,units_sold
2025-03-23,MASS400,Walmart,177
2025-03-23,MASS400,Target,169
2025-03-23,MASS400,Amazon,130
2025-03-23,AUDIO500,Walmart,45
2025-03-23,AUDIO500,Target,141
2025-03-23,AUDIO500,Amazon,138
2025-03-30,VAC100,Walmart,137
2025-03-30,VAC100,Target,103
2025-03-30,VAC100,Amazon,181
2025-03-30,VAC200,Walmart,124
2025-03-30,VAC200,Target,180
2025-03-30,VAC200,Amazon,141
2025-03-30,LED300,Walmart,90
2025-03-30,LED300,Target,51
2025-03-30,LED300,Amazon,33
2025-03-30,MASS400,Walmart,91
2025-03-30,MASS400,Target,172
2025-03-30,MASS400,Amazon,99
2025-03-30,AUDIO500,Walmart,61
2025-03-30,AUDIO500,Target,38
2025-03-30,AUDIO500,Amazon,60
2025-04-06,VAC100,Walmart,31
2025-04-06,VAC100,Target,186
2025-04-06,VAC100,Amazon,131
2025-04-06,VAC200,Walmart,113
2025-04-06,VAC200,Target,149
2025-04-06,VAC200,Amazon,138
2025-04-06,LED300,Walmart,64
2025-04-06,LED300,Target,145
2025-04-06,LED300,Amazon,44
2025-04-06,MASS400,Walmart,87
2025-04-06,MASS400,Target,23
2025-04-06,MASS400,Amazon,55
2025-04-06,AUDIO500,Walmart,63
2025-04-06,AUDIO500,Target,52
2025-04-06,AUDIO500,Amazon,31
2025-04-13,VAC100,Walmart,124
2025-04-13,VAC100,Target,158
2025-04-13,VAC100,Amazon,185
2025-04-13,VAC200,Walmart,145
2025-04-13,VAC200,Target,176
2025-04-13,VAC200,Amazon,131
2025-04-13,LED300,Walmart,22
2025-04-13,LED300,Target,47
2025-04-13,LED300,Amazon,171
2025-04-13,MASS400,Walmart,73
2025-04-13,MASS400,Target,71
2025-04-13,MASS400,Amazon,194
2025-04-13,AUDIO500,Walmart,168
2025-04-13,AUDIO500,Target,49
2025-04-13,AUDIO500,Amazon,87
2025-04-20,VAC100,Walmart,55
2025-04-20,VAC100,Target,59
2025-04-20,VAC100,Amazon,157
2025-04-20,VAC200,Walmart,93
2025-04-20,VAC200,Target,61
2025-04-20,VAC200,Amazon,171
2025-04-20,LED300,Walmart,151
2025-04-20,LED300,Target,66
2025-04-20,LED300,Amazon,198
2025-04-20,MASS400,Walmart,128
2025-04-20,MASS400,Target,23
2025-04-20,MASS400,Amazon,51
2025-04-20,AUDIO500,Walmart,29
2025-04-20,AUDIO500,Target,158
2025-04-20,AUDIO500,Amazon,47
2025-04-27,VAC100,Walmart,193
2025-04-27,VAC100,Target,187
2025-04-27,VAC100,Amazon,81
2025-04-27,VAC200,Walmart,105
2025-04-27,VAC200,Target,117
2025-04-27,VAC200,Amazon,64
2025-04-27,LED300,Walmart,54
2025-04-27,LED300,Target,182
2025-04-27,LED300,Amazon,108
2025-04-27,MASS400,Walmart,53
2025-04-27,MASS400,Target,153
2025-04-27,MASS400,Amazon,56
2025-04-27,AUDIO500,Walmart,20
2025-04-27,AUDIO500,Target,54
2025-04-27,AUDIO500,Amazon,146
2025-05-04,VAC100,Walmart,100
2025-05-04,VAC100,Target,156
2025-05-04,VAC100,Amazon,149
2025-05-04,VAC200,Walmart,132
2025-05-04,VAC200,Target,55
2025-05-04,VAC200,Amazon,140
2025-05-04,LED300,Walmart,111
2025-05-04,LED300,Target,188
2025-05-04,LED300,Amazon,136
2025-05-04,MASS400,Walmart,56
2025-05-04,MASS400,Target,196
2025-05-04,MASS400,Amazon,45
2025-05-04,AUDIO500,Walmart,87
2025-05-04,AUDIO500,Target,123
2025-05-04,AUDIO500,Amazon,55
2025-05-11,VAC100,Walmart,134
2025-05-11,VAC100,Target,50
2025-05-11,VAC100,Amazon,49
2025-05-11,VAC200,Walmart,53
2025-05-11,VAC200,Target,166
2025-05-11,VAC200,Amazon,37
2025-05-11,LED300,Walmart,104
2025-05-11,LED300,Target,22
2025-05-11,LED300,Amazon,89
2025-05-11,MASS400,Walmart,121
2025-05-11,MASS400,Target,160
2025-05-11,MASS400,Amazon,64
2025-05-11,AUDIO500,Walmart,137
2025-05-11,AUDIO500,Target,86
2025-05-11,AUDIO500,Amazon,131
2025-05-18,VAC100,Walmart,111
2025-05-18,VAC100,Target,105
2025-05-18,VAC100,Amazon,187
2025-05-18,VAC200,Walmart,59
2025-05-18,VAC200,Target,170
2025-05-18,VAC200,Amazon,178
2025-05-18,LED300,Walmart,165
2025-05-18,LED300,Target,38
2025-05-18,LED300,Amazon,112
2025-05-18,MASS400,Walmart,63
2025-05-18,MASS400,Target,103
2025-05-18,MASS400,Amazon,197
2025-05-18,AUDIO500,Walmart,61
2025-05-18,AUDIO500,Target,113
2025-05-18,AUDIO500,Amazon,194
